#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-3C7412B6098CEF2-1DC787F1F19F00D7
#datatype	hitsConcise Results
#status	0
#Start time	2022-04-21T02:14:00	Run time	0:00:28:52
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#760 - >760	specific	214815	43	104	1.56835e-28	101.794	smart00774	WRKY	 - 	cl03892
Q#761 - >761	specific	214815	187	244	1.45855e-35	123.366	smart00774	WRKY	 - 	cl03892
Q#762 - >762	specific	214815	97	155	2.605e-35	121.825	smart00774	WRKY	 - 	cl03892
Q#763 - >763	specific	214815	488	545	2.39701e-35	127.218	smart00774	WRKY	 - 	cl03892
Q#763 - >763	specific	214815	277	332	4.35935e-33	121.054	smart00774	WRKY	 - 	cl03892
Q#764 - >764	specific	214815	137	194	1.35297e-35	120.669	smart00774	WRKY	 - 	cl03892
Q#765 - >765	specific	214815	356	412	4.29385e-34	123.366	smart00774	WRKY	 - 	cl03892
Q#766 - >766	specific	397294	34	93	5.69978e-28	99.8534	pfam03106	WRKY	 - 	cl03892
Q#767 - >767	specific	398722	180	222	3.44023e-21	87.2164	pfam05182	Fip1	 - 	cl02162
Q#768 - >768	specific	214815	121	185	9.57772e-27	98.7128	smart00774	WRKY	 - 	cl03892
Q#769 - >769	specific	214815	174	231	6.51262e-38	130.299	smart00774	WRKY	 - 	cl03892
Q#770 - >770	specific	214815	104	163	1.09064e-36	125.292	smart00774	WRKY	 - 	cl03892
Q#771 - >771	specific	214815	1227	1286	2.4232e-26	102.565	smart00774	WRKY	 - 	cl03892
Q#771 - >771	superfamily	395745	407	640	2.14081e-17	83.1976	cl26397	NB-ARC superfamily	 - 	 - 
Q#771 - >771	superfamily	215633	205	426	2.95475e-10	64.8958	cl33662	PLN03210 superfamily	NC	 - 
Q#771 - >771	superfamily	215061	783	1186	2.96587e-06	51.7724	cl33413	PLN00113 superfamily	C	 - 
Q#772 - >772	specific	214815	69	130	1.58937e-27	101.024	smart00774	WRKY	 - 	cl03892
Q#773 - >773	specific	214815	334	391	1.15671e-36	128.373	smart00774	WRKY	 - 	cl03892
Q#773 - >773	specific	214815	178	233	3.25439e-32	116.432	smart00774	WRKY	 - 	cl03892
Q#774 - >774	specific	214815	488	545	2.39701e-35	127.218	smart00774	WRKY	 - 	cl03892
Q#774 - >774	specific	214815	277	332	4.35935e-33	121.054	smart00774	WRKY	 - 	cl03892
Q#775 - >775	specific	214815	320	378	2.48763e-37	129.144	smart00774	WRKY	 - 	cl03892
Q#775 - >775	specific	402248	283	318	2.24337e-09	52.5007	pfam10533	Plant_zn_clust	 - 	cl11166
Q#776 - >776	specific	214815	122	183	7.94888e-29	106.417	smart00774	WRKY	 - 	cl03892
Q#778 - >778	specific	214815	192	250	1.88189e-35	122.98	smart00774	WRKY	 - 	cl03892
Q#779 - >779	specific	214815	144	214	2.86161e-29	106.417	smart00774	WRKY	 - 	cl03892
Q#780 - >780	specific	214815	352	409	6.84931e-35	124.521	smart00774	WRKY	 - 	cl03892
Q#780 - >780	specific	397294	191	246	1.48889e-32	117.958	pfam03106	WRKY	 - 	cl03892
Q#781 - >781	specific	397294	114	174	4.77909e-28	102.165	pfam03106	WRKY	 - 	cl03892
Q#782 - >782	specific	212164	13	269	3.29233e-76	238.862	cd11650	AT4G37440_like	 - 	cl17008
Q#783 - >783	specific	214815	130	189	1.20649e-36	125.677	smart00774	WRKY	 - 	cl03892
Q#784 - >784	specific	214815	117	177	1.54587e-33	117.588	smart00774	WRKY	 - 	cl03892
Q#785 - >785	specific	214815	123	180	1.40258e-38	129.529	smart00774	WRKY	 - 	cl03892
Q#786 - >786	superfamily	413846	128	148	1.97801e-10	53.6444	cl03892	WRKY superfamily	C	 - 
Q#787 - >787	specific	214815	245	303	2.06878e-35	125.677	smart00774	WRKY	 - 	cl03892
Q#788 - >788	specific	214815	488	545	2.39701e-35	127.218	smart00774	WRKY	 - 	cl03892
Q#788 - >788	specific	214815	277	332	4.35935e-33	121.054	smart00774	WRKY	 - 	cl03892
Q#789 - >789	superfamily	419665	104	217	4.26372e-27	105.433	cl21453	PKc_like superfamily	C	 - 
Q#790 - >790	specific	399123	35	323	2.5863e-128	366.915	pfam05910	DUF868	 - 	cl05466
Q#791 - >791	specific	214815	151	209	5.86823e-33	115.276	smart00774	WRKY	 - 	cl03892
Q#792 - >792	specific	396357	22	37	4.23743e-05	39.015	pfam01754	zf-A20	N	cl27506
Q#793 - >793	specific	214815	51	112	4.2046e-32	112.195	smart00774	WRKY	 - 	cl03892
Q#794 - >794	specific	404074	136	402	1.6211e-102	305.777	pfam13088	BNR_2	 - 	cl21531
Q#795 - >795	specific	397294	147	215	1.29744e-28	104.476	pfam03106	WRKY	 - 	cl03892
Q#796 - >796	specific	214815	238	295	1.97347e-34	123.366	smart00774	WRKY	 - 	cl03892
Q#797 - >797	superfamily	413846	3	20	0.00015159	37.4511	cl03892	WRKY superfamily	NC	 - 
Q#798 - >798	specific	214815	100	157	5.18789e-33	112.58	smart00774	WRKY	 - 	cl03892
Q#799 - >799	superfamily	215636	169	523	2.09527e-38	154.65	cl33664	PLN03218 superfamily	NC	 - 
Q#799 - >799	specific	404055	517	562	2.53094e-12	61.9955	pfam13041	PPR_2	 - 	cl38385
Q#799 - >799	specific	404055	591	633	2.70684e-10	56.2176	pfam13041	PPR_2	 - 	cl38385
Q#799 - >799	superfamily	407303	532	682	6.22524e-10	59.7176	cl38513	PPR_long superfamily	 - 	 - 
Q#800 - >800	specific	214815	389	446	1.62366e-33	120.669	smart00774	WRKY	 - 	cl03892
Q#800 - >800	specific	397294	222	276	3.78038e-28	106.017	pfam03106	WRKY	 - 	cl03892
Q#801 - >801	specific	214815	128	185	3.52978e-36	121.054	smart00774	WRKY	 - 	cl03892
Q#802 - >802	specific	214815	143	203	5.36649e-34	120.284	smart00774	WRKY	 - 	cl03892
Q#803 - >803	specific	397294	414	469	6.90602e-34	122.58	pfam03106	WRKY	 - 	cl03892
Q#803 - >803	specific	397294	246	300	1.90702e-29	110.254	pfam03106	WRKY	 - 	cl03892
Q#804 - >804	specific	214815	394	451	2.065e-34	124.136	smart00774	WRKY	 - 	cl03892
Q#804 - >804	specific	214815	219	274	1.72917e-31	116.047	smart00774	WRKY	 - 	cl03892
Q#805 - >805	specific	214815	176	232	1.19925e-36	126.447	smart00774	WRKY	 - 	cl03892
Q#806 - >806	specific	214815	54	112	6.03897e-21	80.2232	smart00774	WRKY	 - 	cl03892
Q#807 - >807	specific	214815	169	226	2.39068e-32	115.662	smart00774	WRKY	 - 	cl03892
Q#808 - >808	specific	214815	339	396	2.16597e-31	114.121	smart00774	WRKY	 - 	cl03892
Q#808 - >808	specific	214815	194	249	4.03546e-27	102.565	smart00774	WRKY	 - 	cl03892
Q#809 - >809	superfamily	413846	200	221	5.74035e-10	53.2592	cl03892	WRKY superfamily	C	 - 
Q#810 - >810	specific	214815	143	203	2.42997e-22	87.542	smart00774	WRKY	 - 	cl03892
Q#811 - >811	specific	214815	280	337	1.11444e-34	125.292	smart00774	WRKY	 - 	cl03892
Q#812 - >812	specific	214815	102	173	9.76891e-25	94.4756	smart00774	WRKY	 - 	cl03892
Q#813 - >813	specific	214815	138	199	3.51066e-31	111.81	smart00774	WRKY	 - 	cl03892
Q#814 - >814	specific	214815	118	178	2.27071e-35	121.44	smart00774	WRKY	 - 	cl03892
Q#815 - >815	specific	214815	339	396	2.16597e-31	114.121	smart00774	WRKY	 - 	cl03892
Q#815 - >815	specific	214815	194	249	4.03546e-27	102.565	smart00774	WRKY	 - 	cl03892
Q#816 - >816	specific	397294	169	225	2.95918e-32	112.18	pfam03106	WRKY	 - 	cl03892
Q#816 - >816	specific	402248	122	165	3.11726e-05	40.1743	pfam10533	Plant_zn_clust	 - 	cl11166
Q#817 - >817	specific	396290	41	315	3.2111e-152	433.253	pfam01650	Peptidase_C13	 - 	cl00042
Q#817 - >817	specific	411051	348	464	1.77808e-24	97.7463	cd21115	legumain_C	 - 	cl41234
Q#818 - >818	specific	214815	152	212	6.66993e-34	118.743	smart00774	WRKY	 - 	cl03892
Q#819 - >819	specific	214815	186	242	2.41671e-31	114.891	smart00774	WRKY	 - 	cl03892
Q#820 - >820	superfamily	184918	150	213	0.000588513	40.3115	cl33039	PRK14954 superfamily	NC	 - 
Q#821 - >821	specific	214815	487	544	2.60937e-35	127.218	smart00774	WRKY	 - 	cl03892
Q#821 - >821	specific	214815	277	331	5.98906e-31	114.891	smart00774	WRKY	 - 	cl03892
Q#822 - >822	specific	214815	139	200	1.21884e-31	112.58	smart00774	WRKY	 - 	cl03892
Q#823 - >823	specific	214815	250	306	5.22244e-33	119.514	smart00774	WRKY	 - 	cl03892
Q#824 - >824	specific	214815	200	257	2.406e-35	124.521	smart00774	WRKY	 - 	cl03892
Q#825 - >825	specific	214815	43	104	2.54774e-28	101.409	smart00774	WRKY	 - 	cl03892
Q#826 - >826	superfamily	413846	134	154	7.10283e-09	50.1776	cl03892	WRKY superfamily	C	 - 
Q#827 - >827	specific	396785	9	143	3.21081e-28	108.666	pfam02365	NAM	 - 	cl03558
Q#828 - >828	specific	214815	134	191	1.4974e-34	117.202	smart00774	WRKY	 - 	cl03892
Q#829 - >829	specific	214815	136	196	2.29996e-22	87.1568	smart00774	WRKY	 - 	cl03892
Q#830 - >830	specific	214815	308	364	2.55142e-34	123.751	smart00774	WRKY	 - 	cl03892
Q#831 - >831	specific	215412	1	643	0	1033.88	PLN02769	PLN02769	 - 	cl30823
Q#832 - >832	specific	214815	143	200	8.43428e-33	117.973	smart00774	WRKY	 - 	cl03892
Q#833 - >833	superfamily	413846	169	189	4.1403e-09	51.7184	cl03892	WRKY superfamily	C	 - 
Q#834 - >834	specific	214815	163	220	2.24683e-33	114.891	smart00774	WRKY	 - 	cl03892
Q#835 - >835	specific	214815	391	448	2.51994e-34	123.751	smart00774	WRKY	 - 	cl03892
Q#835 - >835	specific	214815	219	274	2.07447e-31	115.662	smart00774	WRKY	 - 	cl03892
Q#836 - >836	specific	214815	147	205	9.73259e-34	117.588	smart00774	WRKY	 - 	cl03892
Q#837 - >837	specific	214815	93	151	5.50514e-36	123.751	smart00774	WRKY	 - 	cl03892
Q#838 - >838	specific	214815	135	197	2.08485e-30	110.269	smart00774	WRKY	 - 	cl03892
Q#839 - >839	specific	214815	182	236	3.01471e-30	109.498	smart00774	WRKY	 - 	cl03892
Q#841 - >841	specific	397294	169	225	3.7501e-32	112.18	pfam03106	WRKY	 - 	cl03892
Q#841 - >841	specific	402248	122	165	3.3407e-05	40.1743	pfam10533	Plant_zn_clust	 - 	cl11166
Q#842 - >842	specific	215412	48	645	0	1024.63	PLN02769	PLN02769	 - 	cl30823
Q#843 - >843	specific	214815	382	437	8.11069e-32	115.662	smart00774	WRKY	 - 	cl03892
Q#843 - >843	superfamily	227489	25	182	1.44612e-08	56.8409	cl27325	ULP1 superfamily	N	 - 
Q#844 - >844	specific	397294	146	214	7.26889e-29	105.246	pfam03106	WRKY	 - 	cl03892
Q#845 - >845	specific	214815	433	490	2.52162e-35	126.832	smart00774	WRKY	 - 	cl03892
Q#846 - >846	specific	397294	128	193	3.24679e-25	96.0014	pfam03106	WRKY	 - 	cl03892
Q#847 - >847	specific	214815	280	337	1.00889e-34	125.292	smart00774	WRKY	 - 	cl03892
Q#848 - >848	specific	396785	8	146	2.08455e-25	98.2659	pfam02365	NAM	 - 	cl03558
Q#849 - >849	specific	396290	41	315	2.65176e-152	433.253	pfam01650	Peptidase_C13	 - 	cl00042
Q#849 - >849	specific	411051	348	466	9.4039e-26	101.213	cd21115	legumain_C	 - 	cl41234
Q#850 - >850	specific	214815	250	308	1.44156e-35	124.521	smart00774	WRKY	 - 	cl03892
Q#851 - >851	specific	214815	204	261	5.71025e-34	119.899	smart00774	WRKY	 - 	cl03892
Q#852 - >852	specific	214815	246	304	4.49865e-34	119.128	smart00774	WRKY	 - 	cl03892
Q#852 - >852	specific	402248	203	244	2.76844e-12	60.2047	pfam10533	Plant_zn_clust	 - 	cl11166
Q#853 - >853	specific	214815	1227	1286	2.80522e-26	102.565	smart00774	WRKY	 - 	cl03892
Q#853 - >853	superfamily	395745	407	640	1.35655e-16	80.8864	cl26397	NB-ARC superfamily	 - 	 - 
Q#853 - >853	superfamily	215633	205	426	1.0207e-09	63.355	cl33662	PLN03210 superfamily	NC	 - 
Q#853 - >853	superfamily	215061	783	1186	2.25041e-06	52.1576	cl33413	PLN00113 superfamily	C	 - 
Q#854 - >854	specific	397294	328	384	5.9719e-37	128.358	pfam03106	WRKY	 - 	cl03892
Q#856 - >856	superfamily	419665	104	371	6.80639e-78	242.178	cl21453	PKc_like superfamily	 - 	 - 
Q#857 - >857	specific	398722	179	221	3.21057e-21	87.2164	pfam05182	Fip1	 - 	cl02162
Q#858 - >858	specific	214815	58	122	4.92793e-26	95.246	smart00774	WRKY	 - 	cl03892
Q#859 - >859	specific	397294	229	287	1.87295e-35	124.891	pfam03106	WRKY	 - 	cl03892
Q#860 - >860	specific	214815	128	185	8.98815e-36	119.899	smart00774	WRKY	 - 	cl03892
Q#861 - >861	specific	214815	155	211	2.56095e-31	111.424	smart00774	WRKY	 - 	cl03892
Q#862 - >862	specific	214815	134	191	1.28272e-38	130.684	smart00774	WRKY	 - 	cl03892
Q#863 - >863	specific	214815	69	130	1.58937e-27	101.024	smart00774	WRKY	 - 	cl03892
Q#864 - >864	specific	214815	130	189	2.44341e-36	124.906	smart00774	WRKY	 - 	cl03892
Q#865 - >865	superfamily	173412	39	325	2.21049e-19	95.2078	cl31754	PTZ00121 superfamily	NC	 - 
Q#866 - >866	specific	214815	403	460	7.12881e-35	126.062	smart00774	WRKY	 - 	cl03892
Q#867 - >867	specific	214815	97	155	3.58907e-35	121.825	smart00774	WRKY	 - 	cl03892
Q#868 - >868	specific	214815	165	223	6.27634e-35	121.44	smart00774	WRKY	 - 	cl03892
Q#869 - >869	specific	214815	136	193	2.00598e-33	115.276	smart00774	WRKY	 - 	cl03892
Q#870 - >870	specific	214815	143	203	3.6902e-34	120.669	smart00774	WRKY	 - 	cl03892
Q#871 - >871	specific	214815	487	544	2.60937e-35	127.218	smart00774	WRKY	 - 	cl03892
Q#871 - >871	specific	214815	277	331	5.98906e-31	114.891	smart00774	WRKY	 - 	cl03892
Q#872 - >872	specific	397294	146	214	7.26889e-29	105.246	pfam03106	WRKY	 - 	cl03892
Q#873 - >873	specific	404074	136	402	1.08516e-100	301.154	pfam13088	BNR_2	 - 	cl21531
Q#874 - >874	specific	214815	117	177	1.95343e-33	117.202	smart00774	WRKY	 - 	cl03892
Q#875 - >875	specific	214815	159	216	8.35047e-30	105.646	smart00774	WRKY	 - 	cl03892
Q#876 - >876	specific	214815	409	466	7.93765e-37	131.07	smart00774	WRKY	 - 	cl03892
Q#876 - >876	specific	397294	237	291	1.75089e-31	116.032	pfam03106	WRKY	 - 	cl03892
Q#877 - >877	specific	214815	335	392	1.3173e-36	128.373	smart00774	WRKY	 - 	cl03892
Q#877 - >877	specific	214815	179	234	3.57982e-32	116.432	smart00774	WRKY	 - 	cl03892
Q#878 - >878	specific	214815	95	152	7.56664e-33	111.81	smart00774	WRKY	 - 	cl03892
Q#879 - >879	specific	214815	102	173	8.9851e-25	94.4756	smart00774	WRKY	 - 	cl03892
Q#880 - >880	specific	214815	790	850	5.71466e-31	115.276	smart00774	WRKY	 - 	cl03892
Q#880 - >880	specific	214815	669	729	4.3581e-30	112.965	smart00774	WRKY	 - 	cl03892
Q#880 - >880	superfamily	395745	41	253	7.17657e-29	115.94	cl26397	NB-ARC superfamily	 - 	 - 
Q#881 - >881	specific	404788	582	693	4.43441e-32	120.745	pfam13962	PGG	 - 	cl16503
Q#881 - >881	specific	404788	9	119	2.91406e-31	118.434	pfam13962	PGG	 - 	cl16503
Q#881 - >881	specific	404788	190	301	1.46699e-28	110.73	pfam13962	PGG	 - 	cl16503
Q#881 - >881	specific	404788	429	519	1.33981e-19	84.9213	pfam13962	PGG	 - 	cl16503
Q#881 - >881	superfamily	404788	776	848	1.01807e-14	71.0541	cl16503	PGG superfamily	C	 - 
Q#882 - >882	specific	397294	147	215	1.29744e-28	104.476	pfam03106	WRKY	 - 	cl03892
Q#883 - >883	specific	399123	35	323	1.23523e-127	365.374	pfam05910	DUF868	 - 	cl05466
Q#884 - >884	specific	214815	175	232	3.80423e-36	122.21	smart00774	WRKY	 - 	cl03892
Q#885 - >885	superfamily	187754	176	268	1.44e-12	65.8116	cl39120	AMN1 superfamily	NC	 - 
Q#885 - >885	specific	403981	83	118	0.000341889	37.4637	pfam12937	F-box-like	C	cl02535
Q#886 - >886	specific	214815	339	396	1.87469e-31	114.506	smart00774	WRKY	 - 	cl03892
Q#886 - >886	specific	214815	194	249	3.53488e-27	102.95	smart00774	WRKY	 - 	cl03892
Q#887 - >887	specific	214815	369	426	1.14631e-36	130.299	smart00774	WRKY	 - 	cl03892
Q#888 - >888	superfamily	335237	89	600	0	768.393	cl28725	Methyltransf_29 superfamily	 - 	 - 
Q#889 - >889	specific	214815	320	378	2.1006e-37	129.144	smart00774	WRKY	 - 	cl03892
Q#889 - >889	specific	402248	283	318	2.09472e-09	52.5007	pfam10533	Plant_zn_clust	 - 	cl11166
Q#890 - >890	specific	397294	223	279	4.91545e-34	118.343	pfam03106	WRKY	 - 	cl03892
Q#890 - >890	specific	402248	182	219	3.15905e-10	54.4267	pfam10533	Plant_zn_clust	 - 	cl11166
Q#891 - >891	specific	214815	487	544	2.60937e-35	127.218	smart00774	WRKY	 - 	cl03892
Q#891 - >891	specific	214815	277	331	5.98906e-31	114.891	smart00774	WRKY	 - 	cl03892
Q#892 - >892	specific	214815	295	348	1.42551e-32	116.047	smart00774	WRKY	 - 	cl03892
Q#892 - >892	specific	402248	258	293	4.61143e-10	54.4267	pfam10533	Plant_zn_clust	 - 	cl11166
Q#893 - >893	specific	214815	106	163	3.40284e-30	106.032	smart00774	WRKY	 - 	cl03892
Q#894 - >894	specific	214815	127	186	6.50912e-36	124.136	smart00774	WRKY	 - 	cl03892
Q#895 - >895	specific	206652	1327	1575	1.26693e-124	388.984	cd01853	Toc34_like	 - 	cl38936
Q#896 - >896	specific	214815	125	185	7.75424e-36	124.521	smart00774	WRKY	 - 	cl03892
Q#897 - >897	specific	214815	344	400	4.00952e-34	123.366	smart00774	WRKY	 - 	cl03892
Q#898 - >898	specific	397294	114	174	4.67434e-28	102.165	pfam03106	WRKY	 - 	cl03892
Q#899 - >899	specific	214815	53	111	2.27173e-22	83.69	smart00774	WRKY	 - 	cl03892
Q#900 - >900	specific	214815	123	188	4.0929e-25	94.8608	smart00774	WRKY	 - 	cl03892
Q#901 - >901	specific	396785	9	147	3.31868e-25	100.962	pfam02365	NAM	 - 	cl03558
Q#902 - >902	specific	214815	169	226	2.04218e-32	115.662	smart00774	WRKY	 - 	cl03892
Q#903 - >903	specific	214815	123	180	1.01326e-38	129.914	smart00774	WRKY	 - 	cl03892
Q#904 - >904	specific	214815	312	368	1.06025e-34	124.906	smart00774	WRKY	 - 	cl03892
Q#906 - >906	specific	214815	176	232	1.19925e-36	126.447	smart00774	WRKY	 - 	cl03892
Q#908 - >908	specific	214815	424	481	1.74939e-33	121.054	smart00774	WRKY	 - 	cl03892
Q#908 - >908	specific	397294	257	311	4.1512e-28	106.017	pfam03106	WRKY	 - 	cl03892
Q#909 - >909	superfamily	227438	344	627	5.42523e-08	56.1802	cl34906	RNA14 superfamily	C	 - 
Q#909 - >909	specific	214642	121	153	7.2025e-05	40.225	smart00386	HAT	 - 	cl02592
Q#909 - >909	superfamily	421384	31	185	0.000168212	44.567	cl26712	U3_assoc_6 superfamily	C	 - 
Q#909 - >909	superfamily	111114	223	251	0.000554599	37.9304	cl03482	HAT superfamily	 - 	 - 
Q#910 - >910	specific	214815	132	192	2.41949e-35	122.98	smart00774	WRKY	 - 	cl03892
Q#911 - >911	specific	397294	243	299	1.04566e-33	117.573	pfam03106	WRKY	 - 	cl03892
Q#912 - >912	specific	214815	136	193	1.74206e-35	120.284	smart00774	WRKY	 - 	cl03892
Q#913 - >913	specific	397294	397	452	6.755e-34	122.195	pfam03106	WRKY	 - 	cl03892
Q#913 - >913	specific	397294	229	283	1.96154e-29	109.869	pfam03106	WRKY	 - 	cl03892
Q#914 - >914	specific	214815	43	104	1.56835e-28	101.794	smart00774	WRKY	 - 	cl03892
Q#915 - >915	specific	214815	134	191	1.28272e-38	130.684	smart00774	WRKY	 - 	cl03892
Q#916 - >916	specific	214815	369	426	1.14631e-36	130.299	smart00774	WRKY	 - 	cl03892
Q#917 - >917	specific	397294	147	207	1.84116e-27	101.394	pfam03106	WRKY	 - 	cl03892
Q#918 - >918	specific	214815	160	216	1.84003e-31	113.736	smart00774	WRKY	 - 	cl03892
Q#919 - >919	specific	214815	118	178	2.16028e-35	121.44	smart00774	WRKY	 - 	cl03892
Q#920 - >920	specific	214815	121	185	1.11145e-26	98.7128	smart00774	WRKY	 - 	cl03892
Q#921 - >921	specific	214815	143	201	7.45151e-34	118.358	smart00774	WRKY	 - 	cl03892
Q#922 - >922	specific	396785	10	143	1.0255e-25	102.503	pfam02365	NAM	 - 	cl03558
Q#923 - >923	specific	214815	151	209	4.73902e-33	115.662	smart00774	WRKY	 - 	cl03892
Q#924 - >924	specific	214815	245	303	2.06878e-35	125.677	smart00774	WRKY	 - 	cl03892
Q#925 - >925	specific	214815	38	163	7.27798e-22	85.2308	smart00774	WRKY	 - 	cl03892
Q#926 - >926	specific	397294	131	190	3.09635e-27	101.009	pfam03106	WRKY	 - 	cl03892
Q#927 - >927	specific	214815	238	296	2.2975e-35	125.677	smart00774	WRKY	 - 	cl03892
Q#928 - >928	specific	404074	136	402	1.74998e-101	303.08	pfam13088	BNR_2	 - 	cl21531
Q#929 - >929	specific	212164	13	269	3.22222e-76	238.862	cd11650	AT4G37440_like	 - 	cl17008
Q#930 - >930	specific	396290	1	133	9.33642e-63	198.282	pfam01650	Peptidase_C13	N	cl00042
Q#930 - >930	specific	411051	161	277	4.04125e-24	93.8943	cd21115	legumain_C	 - 	cl41234
Q#932 - >932	superfamily	335237	89	600	0	768.393	cl28725	Methyltransf_29 superfamily	 - 	 - 
Q#933 - >933	superfamily	421389	12	302	1.06056e-39	141.273	cl26744	TPT superfamily	 - 	 - 
Q#934 - >934	specific	397294	310	364	7.14757e-31	114.876	pfam03106	WRKY	 - 	cl03892
Q#934 - >934	specific	214815	540	615	5.35182e-27	104.106	smart00774	WRKY	 - 	cl03892
Q#936 - >936	specific	214815	384	441	3.88152e-34	122.98	smart00774	WRKY	 - 	cl03892
Q#936 - >936	specific	397294	221	275	1.21614e-32	118.728	pfam03106	WRKY	 - 	cl03892
Q#937 - >937	specific	214815	433	490	2.52162e-35	126.832	smart00774	WRKY	 - 	cl03892
Q#938 - >938	specific	214815	351	408	6.62886e-35	124.521	smart00774	WRKY	 - 	cl03892
Q#938 - >938	specific	214815	189	246	1.44341e-32	117.973	smart00774	WRKY	 - 	cl03892
Q#939 - >939	specific	404074	136	402	1.74998e-101	303.08	pfam13088	BNR_2	 - 	cl21531
Q#940 - >940	specific	397294	124	183	6.9013e-30	105.631	pfam03106	WRKY	 - 	cl03892
Q#941 - >941	specific	214815	382	437	8.11069e-32	115.662	smart00774	WRKY	 - 	cl03892
Q#941 - >941	superfamily	227489	25	182	1.44612e-08	56.8409	cl27325	ULP1 superfamily	N	 - 
Q#942 - >942	specific	214815	198	254	1.03864e-30	111.039	smart00774	WRKY	 - 	cl03892
Q#943 - >943	specific	397294	3	30	6.74997e-12	56.7111	pfam03106	WRKY	N	cl03892
Q#944 - >944	specific	214815	51	112	4.34232e-32	112.195	smart00774	WRKY	 - 	cl03892
Q#945 - >945	specific	404074	136	402	1.74998e-101	303.08	pfam13088	BNR_2	 - 	cl21531
Q#946 - >946	superfamily	215636	169	523	3.14431e-39	157.346	cl33664	PLN03218 superfamily	NC	 - 
Q#946 - >946	specific	404055	517	562	2.6318e-12	61.9955	pfam13041	PPR_2	 - 	cl38385
Q#946 - >946	specific	404055	591	633	2.81484e-10	56.2176	pfam13041	PPR_2	 - 	cl38385
Q#946 - >946	superfamily	407303	532	682	6.16694e-10	59.7176	cl38513	PPR_long superfamily	 - 	 - 
Q#947 - >947	specific	214815	238	295	2.16365e-34	123.366	smart00774	WRKY	 - 	cl03892
Q#949 - >949	specific	397294	34	93	5.69978e-28	99.8534	pfam03106	WRKY	 - 	cl03892
Q#950 - >950	specific	214815	140	201	5.25442e-31	111.424	smart00774	WRKY	 - 	cl03892
Q#951 - >951	specific	399123	35	323	7.55192e-128	365.76	pfam05910	DUF868	 - 	cl05466
Q#952 - >952	specific	214815	192	250	1.88189e-35	122.98	smart00774	WRKY	 - 	cl03892
Q#953 - >953	specific	214815	5	65	4.43552e-32	110.269	smart00774	WRKY	 - 	cl03892
Q#953 - >953	superfamily	413846	137	150	0.000137369	38.2215	cl03892	WRKY superfamily	C	 - 
Q#954 - >954	specific	214815	198	256	6.39019e-34	119.899	smart00774	WRKY	 - 	cl03892
Q#955 - >955	specific	214815	126	190	6.71024e-32	113.35	smart00774	WRKY	 - 	cl03892
Q#956 - >956	specific	214815	134	191	1.28272e-38	130.684	smart00774	WRKY	 - 	cl03892
Q#957 - >957	specific	214815	366	423	5.55706e-35	124.521	smart00774	WRKY	 - 	cl03892
Q#957 - >957	specific	214815	200	255	2.75708e-30	111.81	smart00774	WRKY	 - 	cl03892
Q#958 - >958	specific	397294	223	279	4.91545e-34	118.343	pfam03106	WRKY	 - 	cl03892
Q#958 - >958	specific	402248	182	219	3.15905e-10	54.4267	pfam10533	Plant_zn_clust	 - 	cl11166
Q#959 - >959	specific	214815	121	180	1.73692e-36	125.292	smart00774	WRKY	 - 	cl03892
Q#960 - >960	specific	399123	35	325	4.31563e-128	366.53	pfam05910	DUF868	 - 	cl05466
Q#961 - >961	specific	214815	200	257	3.01042e-35	124.136	smart00774	WRKY	 - 	cl03892
Q#962 - >962	specific	214815	382	436	1.78429e-30	112.58	smart00774	WRKY	 - 	cl03892
Q#962 - >962	superfamily	227489	25	182	6.61772e-09	58.3817	cl27325	ULP1 superfamily	N	 - 
Q#963 - >963	specific	214815	187	244	3.2406e-36	124.906	smart00774	WRKY	 - 	cl03892
Q#964 - >964	specific	214815	351	408	7.9769e-35	124.136	smart00774	WRKY	 - 	cl03892
Q#964 - >964	specific	214815	189	246	1.71731e-32	117.973	smart00774	WRKY	 - 	cl03892
Q#965 - >965	superfamily	413846	170	190	4.37254e-09	51.7184	cl03892	WRKY superfamily	C	 - 
Q#966 - >966	specific	396290	41	315	5.00372e-152	432.868	pfam01650	Peptidase_C13	 - 	cl00042
Q#966 - >966	specific	411051	348	466	9.76466e-26	101.213	cd21115	legumain_C	 - 	cl41234
Q#967 - >967	specific	214815	163	220	2.69982e-33	114.506	smart00774	WRKY	 - 	cl03892
Q#968 - >968	specific	404074	136	402	9.91779e-101	301.925	pfam13088	BNR_2	 - 	cl21531
Q#969 - >969	specific	214815	134	191	1.4974e-34	117.202	smart00774	WRKY	 - 	cl03892
Q#970 - >970	specific	214815	433	490	2.52162e-35	126.832	smart00774	WRKY	 - 	cl03892
Q#971 - >971	specific	214815	151	209	5.38742e-33	115.662	smart00774	WRKY	 - 	cl03892
Q#972 - >972	specific	214815	389	446	1.12221e-33	121.054	smart00774	WRKY	 - 	cl03892
Q#972 - >972	specific	397294	222	276	2.25851e-28	106.402	pfam03106	WRKY	 - 	cl03892
Q#973 - >973	specific	214815	487	544	2.60937e-35	127.218	smart00774	WRKY	 - 	cl03892
